id,name,shortname,direction
1,传媒大学,,0
2,传媒大学,,1
3,四惠,,0
4,四惠,,1
5,大望路,,0
6,大望路,,1
7,国贸,,0
8,国贸,,1
9,东单,,0
10,东单,,1
11,天安门,,0
12,天安门,,1
13,西单,,0
14,西单,,1
15,复兴门,,0
16,复兴门,,1
17,北京西站,,0
18,百子湾,,0
19,九龙山,,0
20,九龙山,,1
21,双井,,0
22,双井,,1
23,磁器口,,0
24,磁器口,,1
25,菜市口,,0
26,菜市口,,1
27,达官营,,0
28,达官营,,1
29,青年路,,0
30,青年路,,1
31,金台路,,0
32,金台路,,1
33,呼家楼,,0
34,呼家楼,,1
35,东四,,0
36,东四,,1
37,车公庄,,0
38,车公庄,,1
39,白石桥南,,0
40,白石桥南,,1
41,望京,,0
42,望京,,1
43,东风北桥,,0
44,东风北桥,,1
45,朝阳公园,,0
46,朝阳公园,,1
47,苹果园,,0
48,苹果园,,1
49,梆子井,,0
50,梆子井,,1
51,定福庄,,1
52,三元桥,,0
53,团结湖,,0
54,团结湖,,1
55,石各庄,,0
56,石各庄,,1
57,四惠东,,0
58,四惠东,,1
59,褡裢坡,,1
60,雍和宫,,0
61,北新桥,,0
62,北新桥,,1
63,双桥,,0
64,双桥,,1
65,清河,,0
66,清河,,1
67,崇文门,,0
68,崇文门,,1
69,五道口,,0
70,五道口,,1
71,知春路,,0
72,知春路,,1
73,西直门,,0
74,西直门,,1
75,花庄,,0
76,花庄,,1
77,阜成门,,0
78,阜成门,,1
79,管庄,,0
80,管庄,,1
81,宣武门,,0
82,宣武门,,1
83,北京西站,,1
84,百子湾,,1
85,定福庄,,0
86,褡裢坡,,0
87,三元桥,,1
88,雍和宫,,1